reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2277	0.8784722222222222
motion	two_motion_two_hop_jerund	1	2592	2081	0.8028549382716049
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	214	0.13932291666666666
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	634	0.47172619047619047
orientation	cardinals_one_hop	1	3072	1752	0.5703125
orientation	front_back_one_hop	0	1536	24	0.015625
orientation	front_back_one_hop	1	1536	1512	0.984375
orientation	left_right_one_hop	0	1152	327	0.2838541666666667
orientation	left_right_one_hop	1	1152	1152	1.0
containment	two_hop_compare_fit_in_1	0	432	137	0.31712962962962965
containment	two_hop_compare_fit_in_1	1	432	192	0.4444444444444444
containment	two_hop_compare_fit_in_2	0	360	271	0.7527777777777778
containment	two_hop_compare_fit_in_2	1	360	1	0.002777777777777778
containment	two_hop_compare_fit_in_3	0	72	33	0.4583333333333333
containment	two_hop_compare_fit_in_3	1	72	14	0.19444444444444445
containment	two_hop_compare_fit_in_4	2	648	158	0.24382716049382716
containment	two_hop_compare_in_1	2	432	2	0.004629629629629629
containment	two_hop_fit_in	0	720	584	0.8111111111111111
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	311	0.43194444444444446
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	63	0.4375
containment	two_hop_not_fit_in	1	288	278	0.9652777777777778
containment	two_hop_not_in	0	1440	8	0.005555555555555556
containment	two_hop_not_in	2	1440	0	0.0
