reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2065	0.7966820987654321
motion	two_motion_two_hop_jerund	1	2592	2107	0.8128858024691358
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	12	0.0078125
orientation	above_below_one_hop	1	1536	1520	0.9895833333333334
orientation	cardinals_one_hop	0	1344	105	0.078125
orientation	cardinals_one_hop	1	3072	2550	0.830078125
orientation	front_back_one_hop	0	1536	0	0.0
orientation	front_back_one_hop	1	1536	1534	0.9986979166666666
orientation	left_right_one_hop	0	1152	40	0.034722222222222224
orientation	left_right_one_hop	1	1152	1148	0.9965277777777778
containment	two_hop_compare_fit_in_1	0	432	0	0.0
containment	two_hop_compare_fit_in_1	1	432	408	0.9444444444444444
containment	two_hop_compare_fit_in_2	0	360	163	0.4527777777777778
containment	two_hop_compare_fit_in_2	1	360	48	0.13333333333333333
containment	two_hop_compare_fit_in_3	0	72	22	0.3055555555555556
containment	two_hop_compare_fit_in_3	1	72	63	0.875
containment	two_hop_compare_fit_in_4	2	648	10	0.015432098765432098
containment	two_hop_compare_in_1	2	432	59	0.13657407407407407
containment	two_hop_fit_in	0	720	178	0.24722222222222223
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	35	0.04861111111111111
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	124	0.8611111111111112
containment	two_hop_not_fit_in	1	288	288	1.0
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
