reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2302	0.8881172839506173
motion	two_motion_two_hop_jerund	1	2592	1699	0.6554783950617284
motion	two_motion_two_hop_jerund	2	2592	44	0.016975308641975308
orientation	above_below_one_hop	0	1536	262	0.17057291666666666
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	740	0.5505952380952381
orientation	cardinals_one_hop	1	3072	2456	0.7994791666666666
orientation	front_back_one_hop	0	1536	104	0.06770833333333333
orientation	front_back_one_hop	1	1536	1424	0.9270833333333334
orientation	left_right_one_hop	0	1152	118	0.10243055555555555
orientation	left_right_one_hop	1	1152	1152	1.0
containment	two_hop_compare_fit_in_1	0	432	208	0.48148148148148145
containment	two_hop_compare_fit_in_1	1	432	432	1.0
containment	two_hop_compare_fit_in_2	0	360	1	0.002777777777777778
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	40	0.5555555555555556
containment	two_hop_compare_fit_in_3	1	72	57	0.7916666666666666
containment	two_hop_compare_fit_in_4	2	648	0	0.0
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	637	0.8847222222222222
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	327	0.45416666666666666
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	80	0.5555555555555556
containment	two_hop_not_fit_in	1	288	288	1.0
containment	two_hop_not_in	0	1440	25	0.017361111111111112
containment	two_hop_not_in	2	1440	0	0.0
