reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2263	0.873070987654321
motion	two_motion_two_hop_jerund	1	2592	2035	0.785108024691358
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	904	0.5885416666666666
orientation	above_below_one_hop	1	1536	1442	0.9388020833333334
orientation	cardinals_one_hop	0	1344	801	0.5959821428571429
orientation	cardinals_one_hop	1	3072	1828	0.5950520833333334
orientation	front_back_one_hop	0	1536	386	0.2513020833333333
orientation	front_back_one_hop	1	1536	1150	0.7486979166666666
orientation	left_right_one_hop	0	1152	438	0.3802083333333333
orientation	left_right_one_hop	1	1152	1092	0.9479166666666666
containment	two_hop_compare_fit_in_1	0	432	135	0.3125
containment	two_hop_compare_fit_in_1	1	432	59	0.13657407407407407
containment	two_hop_compare_fit_in_2	0	360	80	0.2222222222222222
containment	two_hop_compare_fit_in_2	1	360	25	0.06944444444444445
containment	two_hop_compare_fit_in_3	0	72	54	0.75
containment	two_hop_compare_fit_in_3	1	72	49	0.6805555555555556
containment	two_hop_compare_fit_in_4	2	648	170	0.2623456790123457
containment	two_hop_compare_in_1	2	432	3	0.006944444444444444
containment	two_hop_fit_in	0	720	720	1.0
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	702	0.975
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	84	0.5833333333333334
containment	two_hop_not_fit_in	1	288	278	0.9652777777777778
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
