reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2253	0.8692129629629629
motion	two_motion_two_hop_jerund	1	2592	2294	0.8850308641975309
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	10	0.006510416666666667
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	37	0.027529761904761904
orientation	cardinals_one_hop	1	3072	2908	0.9466145833333334
orientation	front_back_one_hop	0	1536	0	0.0
orientation	front_back_one_hop	1	1536	1536	1.0
orientation	left_right_one_hop	0	1152	0	0.0
orientation	left_right_one_hop	1	1152	1152	1.0
containment	two_hop_compare_fit_in_1	0	432	0	0.0
containment	two_hop_compare_fit_in_1	1	432	2	0.004629629629629629
containment	two_hop_compare_fit_in_2	0	360	1	0.002777777777777778
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	17	0.2361111111111111
containment	two_hop_compare_fit_in_3	1	72	28	0.3888888888888889
containment	two_hop_compare_fit_in_4	2	648	0	0.0
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	82	0.11388888888888889
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	110	0.1527777777777778
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	0	0.0
containment	two_hop_not_fit_in	1	288	288	1.0
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
