reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	0	0.0
motion	two_motion_two_hop_jerund	1	2592	1914	0.7384259259259259
motion	two_motion_two_hop_jerund	2	2592	1179	0.4548611111111111
orientation	above_below_one_hop	0	1536	0	0.0
orientation	above_below_one_hop	1	1536	364	0.23697916666666666
orientation	cardinals_one_hop	0	1344	0	0.0
orientation	cardinals_one_hop	1	3072	2735	0.8902994791666666
orientation	front_back_one_hop	0	1536	0	0.0
orientation	front_back_one_hop	1	1536	742	0.4830729166666667
orientation	left_right_one_hop	0	1152	20	0.017361111111111112
orientation	left_right_one_hop	1	1152	367	0.3185763888888889
containment	two_hop_compare_fit_in_1	0	432	0	0.0
containment	two_hop_compare_fit_in_1	1	432	379	0.8773148148148148
containment	two_hop_compare_fit_in_2	0	360	320	0.8888888888888888
containment	two_hop_compare_fit_in_2	1	360	360	1.0
containment	two_hop_compare_fit_in_3	0	72	0	0.0
containment	two_hop_compare_fit_in_3	1	72	0	0.0
containment	two_hop_compare_fit_in_4	2	648	345	0.5324074074074074
containment	two_hop_compare_in_1	2	432	432	1.0
containment	two_hop_fit_in	0	720	247	0.34305555555555556
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	34	0.04722222222222222
containment	two_hop_is_in	1	720	716	0.9944444444444445
containment	two_hop_not_fit_in	0	144	26	0.18055555555555555
containment	two_hop_not_fit_in	1	288	144	0.5
containment	two_hop_not_in	0	1440	1351	0.9381944444444444
containment	two_hop_not_in	2	1440	691	0.4798611111111111
