reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2319	0.8946759259259259
motion	two_motion_two_hop_jerund	1	2592	2135	0.8236882716049383
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	720	0.46875
orientation	above_below_one_hop	1	1536	1504	0.9791666666666666
orientation	cardinals_one_hop	0	1344	89	0.0662202380952381
orientation	cardinals_one_hop	1	3072	2412	0.78515625
orientation	front_back_one_hop	0	1536	176	0.11458333333333333
orientation	front_back_one_hop	1	1536	1360	0.8854166666666666
orientation	left_right_one_hop	0	1152	230	0.1996527777777778
orientation	left_right_one_hop	1	1152	1070	0.9288194444444444
containment	two_hop_compare_fit_in_1	0	432	34	0.0787037037037037
containment	two_hop_compare_fit_in_1	1	432	5	0.011574074074074073
containment	two_hop_compare_fit_in_2	0	360	154	0.42777777777777776
containment	two_hop_compare_fit_in_2	1	360	7	0.019444444444444445
containment	two_hop_compare_fit_in_3	0	72	24	0.3333333333333333
containment	two_hop_compare_fit_in_3	1	72	38	0.5277777777777778
containment	two_hop_compare_fit_in_4	2	648	291	0.44907407407407407
containment	two_hop_compare_in_1	2	432	8	0.018518518518518517
containment	two_hop_fit_in	0	720	719	0.9986111111111111
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	633	0.8791666666666667
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	130	0.9027777777777778
containment	two_hop_not_fit_in	1	288	265	0.9201388888888888
containment	two_hop_not_in	0	1440	2	0.001388888888888889
containment	two_hop_not_in	2	1440	0	0.0
