premise	hypothesis	entailment	reasoning_type	function_name	g_id	answer	correct
James is in motion.	James is moving.	entailment	motion	motion_one_hop	0	entailment	1
James is in motion.	James is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
James is in motion.	James is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
James is in motion.	James is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
James is in motion.	James is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
James is in motion.	James is thinking.	neutral	motion	motion_one_hop	2	neutral	1
James is in motion.	James is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
James is moving.	James is in motion.	entailment	motion	motion_one_hop	0	entailment	1
James is moving.	James is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
James is moving.	James is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
James is moving.	James is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
James is moving.	James is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
James is moving.	James is thinking.	neutral	motion	motion_one_hop	2	neutral	1
James is moving.	James is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
James is not stationary.	James is in motion.	entailment	motion	motion_one_hop	0	entailment	1
James is not stationary.	James is moving.	entailment	motion	motion_one_hop	0	entailment	1
James is not stationary.	James is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
James is not stationary.	James is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
James is not stationary.	James is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
James is not stationary.	James is thinking.	neutral	motion	motion_one_hop	2	neutral	1
James is not stationary.	James is meditating.	neutral	motion	motion_one_hop	2	neutral	1
Robert is in motion.	Robert is moving.	entailment	motion	motion_one_hop	0	entailment	1
Robert is in motion.	Robert is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
Robert is in motion.	Robert is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is in motion.	Robert is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is in motion.	Robert is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is in motion.	Robert is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Robert is in motion.	Robert is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
Robert is moving.	Robert is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Robert is moving.	Robert is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
Robert is moving.	Robert is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is moving.	Robert is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is moving.	Robert is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is moving.	Robert is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Robert is moving.	Robert is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
Robert is not stationary.	Robert is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Robert is not stationary.	Robert is moving.	entailment	motion	motion_one_hop	0	entailment	1
Robert is not stationary.	Robert is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is not stationary.	Robert is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is not stationary.	Robert is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Robert is not stationary.	Robert is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Robert is not stationary.	Robert is meditating.	neutral	motion	motion_one_hop	2	neutral	1
Sophia is in motion.	Sophia is moving.	entailment	motion	motion_one_hop	0	entailment	1
Sophia is in motion.	Sophia is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
Sophia is in motion.	Sophia is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is in motion.	Sophia is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is in motion.	Sophia is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is in motion.	Sophia is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Sophia is in motion.	Sophia is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
Sophia is moving.	Sophia is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Sophia is moving.	Sophia is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
Sophia is moving.	Sophia is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is moving.	Sophia is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is moving.	Sophia is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is moving.	Sophia is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Sophia is moving.	Sophia is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
Sophia is not stationary.	Sophia is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Sophia is not stationary.	Sophia is moving.	entailment	motion	motion_one_hop	0	entailment	1
Sophia is not stationary.	Sophia is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is not stationary.	Sophia is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is not stationary.	Sophia is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Sophia is not stationary.	Sophia is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Sophia is not stationary.	Sophia is meditating.	neutral	motion	motion_one_hop	2	neutral	1
Emma is in motion.	Emma is moving.	entailment	motion	motion_one_hop	0	entailment	1
Emma is in motion.	Emma is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
Emma is in motion.	Emma is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is in motion.	Emma is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is in motion.	Emma is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is in motion.	Emma is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Emma is in motion.	Emma is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
Emma is moving.	Emma is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Emma is moving.	Emma is not stationary.	entailment	motion	motion_one_hop	0	entailment	1
Emma is moving.	Emma is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is moving.	Emma is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is moving.	Emma is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is moving.	Emma is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Emma is moving.	Emma is meditating.	neutral	motion	motion_one_hop	2	contradiction	0
Emma is not stationary.	Emma is in motion.	entailment	motion	motion_one_hop	0	entailment	1
Emma is not stationary.	Emma is moving.	entailment	motion	motion_one_hop	0	entailment	1
Emma is not stationary.	Emma is not in motion.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is not stationary.	Emma is not moving.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is not stationary.	Emma is stationary.	contradiction	motion	motion_one_hop	1	contradiction	1
Emma is not stationary.	Emma is thinking.	neutral	motion	motion_one_hop	2	neutral	1
Emma is not stationary.	Emma is meditating.	neutral	motion	motion_one_hop	2	neutral	1
James is cycling.	James is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is cycling.	James is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is cycling.	James is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is cycling.	James is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is cycling.	James is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is cycling.	James is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is cycling.	James is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
James is cycling.	James is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
James is jumping.	James is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is jumping.	James is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is jumping.	James is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is jumping.	James is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is jumping.	James is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is jumping.	James is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is jumping.	James is thinking.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
James is jumping.	James is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
James is swimming.	James is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is swimming.	James is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is swimming.	James is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is swimming.	James is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is swimming.	James is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is swimming.	James is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is swimming.	James is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
James is swimming.	James is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
James is walking.	James is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is walking.	James is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is walking.	James is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is walking.	James is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is walking.	James is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is walking.	James is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is walking.	James is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
James is walking.	James is meditating.	neutral	motion	motion_one_hop_jerund	2	neutral	1
James is running.	James is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is running.	James is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is running.	James is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
James is running.	James is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is running.	James is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is running.	James is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
James is running.	James is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
James is running.	James is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Robert is cycling.	Robert is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is cycling.	Robert is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is cycling.	Robert is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is cycling.	Robert is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is cycling.	Robert is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is cycling.	Robert is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is cycling.	Robert is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Robert is cycling.	Robert is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Robert is jumping.	Robert is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is jumping.	Robert is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is jumping.	Robert is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is jumping.	Robert is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is jumping.	Robert is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is jumping.	Robert is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is jumping.	Robert is thinking.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Robert is jumping.	Robert is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Robert is swimming.	Robert is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is swimming.	Robert is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is swimming.	Robert is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is swimming.	Robert is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is swimming.	Robert is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is swimming.	Robert is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is swimming.	Robert is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Robert is swimming.	Robert is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Robert is walking.	Robert is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is walking.	Robert is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is walking.	Robert is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is walking.	Robert is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is walking.	Robert is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is walking.	Robert is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is walking.	Robert is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Robert is walking.	Robert is meditating.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Robert is running.	Robert is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is running.	Robert is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is running.	Robert is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Robert is running.	Robert is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is running.	Robert is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is running.	Robert is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Robert is running.	Robert is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Robert is running.	Robert is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Sophia is cycling.	Sophia is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is cycling.	Sophia is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is cycling.	Sophia is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is cycling.	Sophia is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is cycling.	Sophia is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is cycling.	Sophia is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is cycling.	Sophia is thinking.	neutral	motion	motion_one_hop_jerund	2	neutral	1
Sophia is cycling.	Sophia is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Sophia is jumping.	Sophia is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is jumping.	Sophia is moving.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is jumping.	Sophia is not stationary.	entailment	motion	motion_one_hop_jerund	0	entailment	1
Sophia is jumping.	Sophia is not in motion.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is jumping.	Sophia is not moving.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is jumping.	Sophia is stationary.	contradiction	motion	motion_one_hop_jerund	1	contradiction	1
Sophia is jumping.	Sophia is thinking.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Sophia is jumping.	Sophia is meditating.	neutral	motion	motion_one_hop_jerund	2	contradiction	0
Sophia is swimming.	Sophia is in motion.	entailment	motion	motion_one_hop_jerund	0	entailment	1
