reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	0	0.0
motion	two_motion_two_hop_jerund	1	2592	2535	0.9780092592592593
motion	two_motion_two_hop_jerund	2	2592	104	0.040123456790123455
orientation	above_below_one_hop	0	1536	0	0.0
orientation	above_below_one_hop	1	1536	730	0.4752604166666667
orientation	cardinals_one_hop	0	1344	0	0.0
orientation	cardinals_one_hop	1	3072	3072	1.0
orientation	front_back_one_hop	0	1536	0	0.0
orientation	front_back_one_hop	1	1536	1446	0.94140625
orientation	left_right_one_hop	0	1152	0	0.0
orientation	left_right_one_hop	1	1152	1128	0.9791666666666666
containment	two_hop_compare_fit_in_1	0	432	0	0.0
containment	two_hop_compare_fit_in_1	1	432	432	1.0
containment	two_hop_compare_fit_in_2	0	360	1	0.002777777777777778
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	0	0.0
containment	two_hop_compare_fit_in_3	1	72	67	0.9305555555555556
containment	two_hop_compare_fit_in_4	2	648	24	0.037037037037037035
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	0	0.0
containment	two_hop_fit_in	1	720	701	0.9736111111111111
containment	two_hop_is_in	0	720	0	0.0
containment	two_hop_is_in	1	720	394	0.5472222222222223
containment	two_hop_not_fit_in	0	144	0	0.0
containment	two_hop_not_fit_in	1	288	288	1.0
containment	two_hop_not_in	0	1440	508	0.3527777777777778
containment	two_hop_not_in	2	1440	188	0.13055555555555556
