reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	1135	0.4378858024691358
motion	two_motion_two_hop_jerund	1	2592	863	0.33294753086419754
motion	two_motion_two_hop_jerund	2	2592	1568	0.6049382716049383
orientation	above_below_one_hop	0	1536	67	0.043619791666666664
orientation	above_below_one_hop	1	1536	651	0.423828125
orientation	cardinals_one_hop	0	1344	1	0.000744047619047619
orientation	cardinals_one_hop	1	3072	606	0.197265625
orientation	front_back_one_hop	0	1536	0	0.0
orientation	front_back_one_hop	1	1536	1150	0.7486979166666666
orientation	left_right_one_hop	0	1152	327	0.2838541666666667
orientation	left_right_one_hop	1	1152	433	0.3758680555555556
containment	two_hop_compare_fit_in_1	0	432	92	0.21296296296296297
containment	two_hop_compare_fit_in_1	1	432	109	0.2523148148148148
containment	two_hop_compare_fit_in_2	0	360	186	0.5166666666666667
containment	two_hop_compare_fit_in_2	1	360	258	0.7166666666666667
containment	two_hop_compare_fit_in_3	0	72	0	0.0
containment	two_hop_compare_fit_in_3	1	72	3	0.041666666666666664
containment	two_hop_compare_fit_in_4	2	648	343	0.529320987654321
containment	two_hop_compare_in_1	2	432	151	0.34953703703703703
containment	two_hop_fit_in	0	720	190	0.2638888888888889
containment	two_hop_fit_in	1	720	27	0.0375
containment	two_hop_is_in	0	720	245	0.3402777777777778
containment	two_hop_is_in	1	720	638	0.8861111111111111
containment	two_hop_not_fit_in	0	144	0	0.0
containment	two_hop_not_fit_in	1	288	59	0.2048611111111111
containment	two_hop_not_in	0	1440	499	0.34652777777777777
containment	two_hop_not_in	2	1440	427	0.2965277777777778
