reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2248	0.8672839506172839
motion	two_motion_two_hop_jerund	1	2592	1789	0.6902006172839507
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	152	0.09895833333333333
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	366	0.27232142857142855
orientation	cardinals_one_hop	1	3072	2813	0.9156901041666666
orientation	front_back_one_hop	0	1536	8	0.005208333333333333
orientation	front_back_one_hop	1	1536	1528	0.9947916666666666
orientation	left_right_one_hop	0	1152	67	0.058159722222222224
orientation	left_right_one_hop	1	1152	1152	1.0
containment	two_hop_compare_fit_in_1	0	432	176	0.4074074074074074
containment	two_hop_compare_fit_in_1	1	432	432	1.0
containment	two_hop_compare_fit_in_2	0	360	0	0.0
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	24	0.3333333333333333
containment	two_hop_compare_fit_in_3	1	72	60	0.8333333333333334
containment	two_hop_compare_fit_in_4	2	648	0	0.0
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	306	0.425
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	133	0.18472222222222223
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	70	0.4861111111111111
containment	two_hop_not_fit_in	1	288	288	1.0
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
