reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2088	0.8055555555555556
motion	two_motion_two_hop_jerund	1	2592	1428	0.5509259259259259
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	770	0.5013020833333334
orientation	above_below_one_hop	1	1536	1444	0.9401041666666666
orientation	cardinals_one_hop	0	1344	232	0.17261904761904762
orientation	cardinals_one_hop	1	3072	2958	0.962890625
orientation	front_back_one_hop	0	1536	100	0.06510416666666667
orientation	front_back_one_hop	1	1536	1436	0.9348958333333334
orientation	left_right_one_hop	0	1152	625	0.5425347222222222
orientation	left_right_one_hop	1	1152	980	0.8506944444444444
containment	two_hop_compare_fit_in_1	0	432	336	0.7777777777777778
containment	two_hop_compare_fit_in_1	1	432	291	0.6736111111111112
containment	two_hop_compare_fit_in_2	0	360	2	0.005555555555555556
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	31	0.4305555555555556
containment	two_hop_compare_fit_in_3	1	72	57	0.7916666666666666
containment	two_hop_compare_fit_in_4	2	648	208	0.32098765432098764
containment	two_hop_compare_in_1	2	432	4	0.009259259259259259
containment	two_hop_fit_in	0	720	709	0.9847222222222223
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	720	1.0
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	94	0.6527777777777778
containment	two_hop_not_fit_in	1	288	287	0.9965277777777778
containment	two_hop_not_in	0	1440	21	0.014583333333333334
containment	two_hop_not_in	2	1440	0	0.0
