reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2195	0.8468364197530864
motion	two_motion_two_hop_jerund	1	2592	2109	0.8136574074074074
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	782	0.5091145833333334
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	865	0.6436011904761905
orientation	cardinals_one_hop	1	3072	1985	0.6461588541666666
orientation	front_back_one_hop	0	1536	644	0.4192708333333333
orientation	front_back_one_hop	1	1536	888	0.578125
orientation	left_right_one_hop	0	1152	704	0.6111111111111112
orientation	left_right_one_hop	1	1152	1108	0.9618055555555556
containment	two_hop_compare_fit_in_1	0	432	20	0.046296296296296294
containment	two_hop_compare_fit_in_1	1	432	274	0.6342592592592593
containment	two_hop_compare_fit_in_2	0	360	3	0.008333333333333333
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	14	0.19444444444444445
containment	two_hop_compare_fit_in_3	1	72	72	1.0
containment	two_hop_compare_fit_in_4	2	648	1	0.0015432098765432098
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	642	0.8916666666666667
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	357	0.49583333333333335
containment	two_hop_is_in	1	720	709	0.9847222222222223
containment	two_hop_not_fit_in	0	144	54	0.375
containment	two_hop_not_fit_in	1	288	288	1.0
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
