reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2098	0.8094135802469136
motion	two_motion_two_hop_jerund	1	2592	1885	0.7272376543209876
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	98	0.06380208333333333
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	464	0.34523809523809523
orientation	cardinals_one_hop	1	3072	2770	0.9016927083333334
orientation	front_back_one_hop	0	1536	6	0.00390625
orientation	front_back_one_hop	1	1536	1530	0.99609375
orientation	left_right_one_hop	0	1152	397	0.3446180555555556
orientation	left_right_one_hop	1	1152	1130	0.9809027777777778
containment	two_hop_compare_fit_in_1	0	432	106	0.24537037037037038
containment	two_hop_compare_fit_in_1	1	432	412	0.9537037037037037
containment	two_hop_compare_fit_in_2	0	360	5	0.013888888888888888
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	46	0.6388888888888888
containment	two_hop_compare_fit_in_3	1	72	48	0.6666666666666666
containment	two_hop_compare_fit_in_4	2	648	5	0.007716049382716049
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	577	0.8013888888888889
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	438	0.6083333333333333
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	122	0.8472222222222222
containment	two_hop_not_fit_in	1	288	272	0.9444444444444444
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
